model;exploration;strategy;alpha;gamma;epsilon;similarity;child_profile;success_rate_mean;success_rate_std;avg_attempts_mean;avg_attempts_std
SARSA;epsilon_greedy;B;0.3;0.6;0.15;euclidean;noisy;57.0;0.8164965809277203;3.58;0.03559026084010436
SARSA;epsilon_greedy;C;0.3;0.6;0.15;cosine;noisy;80.0;2.449489742783178;3.1633333333333336;0.061824123303304744
SARSA;epsilon_greedy;C;0.3;0.6;0.15;euclidean;noisy;81.0;2.160246899469287;3.3366666666666664;0.0590668171555645
SARSA;epsilon_greedy;D;0.3;0.6;0.15;cosine;noisy;74.66666666666667;4.0276819911981905;3.3333333333333335;0.19362047641943467
SARSA;epsilon_greedy;D;0.3;0.6;0.15;euclidean;noisy;79.33333333333333;3.39934634239519;3.223333333333333;0.11025223605694152
SARSA;epsilon_greedy;E;0.3;0.6;0.15;cosine;noisy;81.0;4.320493798938574;3.24;0.008164965809277268
SARSA;epsilon_greedy;E;0.3;0.6;0.15;euclidean;noisy;77.33333333333333;2.6246692913372702;3.2000000000000006;0.08831760866327844
SARSA;decaying_epsilon;A;0.3;0.6;0.15;cosine;noisy;73.33333333333333;4.9216076867444665;2.9066666666666667;0.11085526098877264
SARSA;decaying_epsilon;A;0.3;0.6;0.15;euclidean;noisy;72.66666666666667;3.681787005729087;3.0066666666666664;0.11469767022723512
SARSA;decaying_epsilon;B;0.3;0.6;0.15;cosine;noisy;65.66666666666667;1.247219128924647;3.2933333333333334;0.08178562764256862
SARSA;decaying_epsilon;B;0.3;0.6;0.15;euclidean;noisy;65.33333333333333;6.018490028422599;3.276666666666667;0.14522013940527975
SARSA;decaying_epsilon;C;0.3;0.6;0.15;cosine;noisy;79.0;4.320493798938574;3.1466666666666665;0.2007209228976613
SARSA;decaying_epsilon;C;0.3;0.6;0.15;euclidean;noisy;84.0;1.4142135623730951;3.3200000000000003;0.15121728296284995
SARSA;decaying_epsilon;D;0.3;0.6;0.15;cosine;noisy;80.0;6.164414002968976;3.0366666666666666;0.03399346342395173
SARSA;decaying_epsilon;D;0.3;0.6;0.15;euclidean;noisy;76.66666666666667;1.8856180831641267;3.28;0.1489966442575135
SARSA;decaying_epsilon;E;0.3;0.6;0.15;cosine;noisy;72.66666666666667;4.0276819911981905;3.4333333333333336;0.08956685895029604
SARSA;decaying_epsilon;E;0.3;0.6;0.15;euclidean;noisy;75.0;0.816496580927726;3.236666666666667;0.10624918300339495
SARSA;ucb;A;0.3;0.6;0.15;cosine;noisy;71.33333333333333;3.2998316455372216;3.02;0.08640987597877155
SARSA;ucb;A;0.3;0.6;0.15;euclidean;noisy;74.33333333333333;3.39934634239519;3.0066666666666664;0.04988876515698593
SARSA;ucb;B;0.3;0.6;0.15;cosine;noisy;58.333333333333336;1.2472191289246501;3.5766666666666667;0.17211107524567437
SARSA;ucb;B;0.3;0.6;0.15;euclidean;noisy;64.0;5.0990195135927845;3.3166666666666664;0.26411277052720417
SARSA;ucb;C;0.3;0.6;0.15;cosine;noisy;81.66666666666667;1.8856180831641267;3.31;0.10198039027185579
SARSA;ucb;C;0.3;0.6;0.15;euclidean;noisy;82.33333333333333;3.0912061651652345;3.3666666666666667;0.07133644853010897
SARSA;ucb;D;0.3;0.6;0.15;cosine;noisy;75.33333333333333;1.8856180831641267;3.3866666666666667;0.016996731711975993
SARSA;ucb;D;0.3;0.6;0.15;euclidean;noisy;68.0;7.3484692283495345;3.526666666666667;0.2028683207293725
SARSA;ucb;E;0.3;0.6;0.15;cosine;noisy;78.33333333333333;4.496912521077347;3.19;0.10984838035522713
SARSA;ucb;E;0.3;0.6;0.15;euclidean;noisy;77.0;1.4142135623730951;3.393333333333333;0.14704496666741856
Expected-SARSA;epsilon_greedy;A;0.3;0.6;0.15;cosine;noisy;70.33333333333333;1.247219128924647;3.0233333333333334;0.15062831370260016
Expected-SARSA;epsilon_greedy;A;0.3;0.6;0.15;euclidean;noisy;78.0;2.449489742783178;2.893333333333333;0.11085526098877255
Expected-SARSA;epsilon_greedy;B;0.3;0.6;0.15;cosine;noisy;67.66666666666667;0.4714045207910317;3.23;0.09273618495495697
Expected-SARSA;epsilon_greedy;B;0.3;0.6;0.15;euclidean;noisy;61.0;3.2659863237109072;3.4433333333333334;0.1268419839362696
Expected-SARSA;epsilon_greedy;C;0.3;0.6;0.15;cosine;noisy;79.66666666666667;6.649979114420002;3.033333333333333;0.13021349989749736
Expected-SARSA;epsilon_greedy;C;0.3;0.6;0.15;euclidean;noisy;85.0;2.943920288775949;3.11;0.15769168230019823
Expected-SARSA;epsilon_greedy;D;0.3;0.6;0.15;cosine;noisy;77.33333333333333;2.8674417556808756;3.14;0.06683312551921144
Expected-SARSA;epsilon_greedy;D;0.3;0.6;0.15;euclidean;noisy;78.0;7.874007874011811;3.073333333333333;0.06649979114419997
Expected-SARSA;epsilon_greedy;E;0.3;0.6;0.15;cosine;noisy;81.66666666666667;5.312459150169742;3.206666666666667;0.203360653902262
Expected-SARSA;epsilon_greedy;E;0.3;0.6;0.15;euclidean;noisy;78.33333333333333;3.681787005729087;3.1966666666666668;0.29329545209945257
Expected-SARSA;decaying_epsilon;A;0.3;0.6;0.15;cosine;noisy;69.33333333333333;4.642796092394706;3.0533333333333332;0.17249798710580813
Expected-SARSA;decaying_epsilon;A;0.3;0.6;0.15;euclidean;noisy;74.66666666666667;2.0548046676563256;2.9;0.078740078740118
Expected-SARSA;decaying_epsilon;B;0.3;0.6;0.15;cosine;noisy;60.666666666666664;7.717224601860151;3.34;0.2987752778706208
Expected-SARSA;decaying_epsilon;B;0.3;0.6;0.15;euclidean;noisy;64.33333333333333;3.2998316455372216;3.3966666666666665;0.08806563209081943
Expected-SARSA;decaying_epsilon;C;0.3;0.6;0.15;cosine;noisy;82.0;0.816496580927726;2.9599999999999995;0.10033277962194939
Expected-SARSA;decaying_epsilon;C;0.3;0.6;0.15;euclidean;noisy;79.33333333333333;2.0548046676563256;3.36;0.09797958971132703
Expected-SARSA;decaying_epsilon;D;0.3;0.6;0.15;cosine;noisy;77.66666666666667;3.681787005729087;3.0700000000000003;0.15937377450509216
Expected-SARSA;decaying_epsilon;D;0.3;0.6;0.15;euclidean;noisy;73.33333333333333;5.2493385826745405;3.25;0.10614455552060434
Expected-SARSA;decaying_epsilon;E;0.3;0.6;0.15;cosine;noisy;76.0;2.449489742783178;3.3699999999999997;4.440892098500626e-16
Expected-SARSA;decaying_epsilon;E;0.3;0.6;0.15;euclidean;noisy;81.66666666666667;8.259674462242579;3.09;0.23762715894162148
Expected-SARSA;ucb;A;0.3;0.6;0.15;cosine;noisy;71.66666666666667;2.8674417556808756;3.06;0.03265986323710907
Expected-SARSA;ucb;A;0.3;0.6;0.15;euclidean;noisy;75.33333333333333;4.0276819911981905;3.033333333333333;0.13274871834493246
Expected-SARSA;ucb;B;0.3;0.6;0.15;cosine;noisy;61.0;2.9439202887759515;3.5400000000000005;0.11343133018115703
Expected-SARSA;ucb;B;0.3;0.6;0.15;euclidean;noisy;61.0;1.4142135623730951;3.5500000000000003;0.12192894105447928
Expected-SARSA;ucb;C;0.3;0.6;0.15;cosine;noisy;76.0;4.08248290463863;3.463333333333333;0.08055363982396367
Expected-SARSA;ucb;C;0.3;0.6;0.15;euclidean;noisy;82.66666666666667;3.2998316455372216;3.0999999999999996;0.12961481396815713
Expected-SARSA;ucb;D;0.3;0.6;0.15;cosine;noisy;66.0;1.4142135623730951;3.4633333333333334;0.12970050972229152
Expected-SARSA;ucb;D;0.3;0.6;0.15;euclidean;noisy;77.33333333333333;3.858612300930075;3.2166666666666663;0.13424687043734848
Expected-SARSA;ucb;E;0.3;0.6;0.15;cosine;noisy;72.0;2.8284271247461903;3.1633333333333336;0.2124983660067897
Expected-SARSA;ucb;E;0.3;0.6;0.15;euclidean;noisy;73.66666666666667;0.4714045207910317;3.3266666666666667;0.10208928554075704
Double-Q-Learning;epsilon_greedy;A;0.3;0.6;0.15;cosine;noisy;70.0;0.816496580927726;3.0833333333333335;0.04189935029992184
Double-Q-Learning;epsilon_greedy;A;0.3;0.6;0.15;euclidean;noisy;70.0;1.632993161855452;3.1033333333333335;0.1203698005684519
Double-Q-Learning;epsilon_greedy;B;0.3;0.6;0.15;cosine;noisy;67.0;5.0990195135927845;3.2600000000000002;0.2731300056749534
Double-Q-Learning;epsilon_greedy;B;0.3;0.6;0.15;euclidean;noisy;57.666666666666664;3.39934634239519;3.533333333333333;0.09392668535736913
Double-Q-Learning;epsilon_greedy;C;0.3;0.6;0.15;cosine;noisy;76.0;1.632993161855452;3.3733333333333335;0.12498888839501783
Double-Q-Learning;epsilon_greedy;C;0.3;0.6;0.15;euclidean;noisy;85.33333333333333;1.699673171197595;3.0366666666666666;0.1987181141438517
Double-Q-Learning;epsilon_greedy;D;0.3;0.6;0.15;cosine;noisy;73.0;2.160246899469287;3.4;0.05099019513592786
Double-Q-Learning;epsilon_greedy;D;0.3;0.6;0.15;euclidean;noisy;76.33333333333333;2.6246692913372702;3.123333333333333;0.0659966329107445
Double-Q-Learning;epsilon_greedy;E;0.3;0.6;0.15;cosine;noisy;81.66666666666667;3.7712361663282534;3.2733333333333334;0.09568466729604871
Double-Q-Learning;epsilon_greedy;E;0.3;0.6;0.15;euclidean;noisy;78.0;1.632993161855452;3.1933333333333334;0.04784233364802436
Double-Q-Learning;decaying_epsilon;A;0.3;0.6;0.15;cosine;noisy;73.33333333333333;2.0548046676563256;2.9600000000000004;0.029439202887759617
Double-Q-Learning;decaying_epsilon;A;0.3;0.6;0.15;euclidean;noisy;69.33333333333333;2.6246692913372702;3.02;0.11518101695447322
Double-Q-Learning;decaying_epsilon;B;0.3;0.6;0.15;cosine;noisy;63.666666666666664;2.494438257849294;3.31;0.1981581859693579
Double-Q-Learning;decaying_epsilon;B;0.3;0.6;0.15;euclidean;noisy;58.333333333333336;5.90668171555645;3.526666666666667;0.18803073034893927
Double-Q-Learning;decaying_epsilon;C;0.3;0.6;0.15;cosine;noisy;82.33333333333333;4.921607686744467;3.0133333333333336;0.21452790546272116
Double-Q-Learning;decaying_epsilon;C;0.3;0.6;0.15;euclidean;noisy;84.0;3.7416573867739413;3.17;0.15297058540778352
Double-Q-Learning;decaying_epsilon;D;0.3;0.6;0.15;cosine;noisy;80.33333333333333;1.247219128924647;2.956666666666667;0.09568466729604871
Double-Q-Learning;decaying_epsilon;D;0.3;0.6;0.15;euclidean;noisy;79.66666666666667;0.9428090415820634;2.986666666666667;0.11614167593456225
Double-Q-Learning;decaying_epsilon;E;0.3;0.6;0.15;cosine;noisy;72.33333333333333;1.699673171197595;3.3000000000000003;0.1283225103661344
Double-Q-Learning;decaying_epsilon;E;0.3;0.6;0.15;euclidean;noisy;78.66666666666667;4.642796092394707;3.2466666666666666;0.09809292646374783
Double-Q-Learning;ucb;A;0.3;0.6;0.15;cosine;noisy;71.33333333333333;3.0912061651652345;3.143333333333333;0.05312459150169738
Double-Q-Learning;ucb;A;0.3;0.6;0.15;euclidean;noisy;73.0;3.7416573867739413;3.0033333333333334;0.1309792180292566
Double-Q-Learning;ucb;B;0.3;0.6;0.15;cosine;noisy;60.666666666666664;8.379870059984357;3.5500000000000003;0.12027745701779145
Double-Q-Learning;ucb;B;0.3;0.6;0.15;euclidean;noisy;58.333333333333336;1.6996731711975919;3.4633333333333334;0.041096093353126376
Double-Q-Learning;ucb;C;0.3;0.6;0.15;cosine;noisy;80.0;2.160246899469287;3.3433333333333337;0.04496912521077355
Double-Q-Learning;ucb;C;0.3;0.6;0.15;euclidean;noisy;82.0;1.4142135623730951;3.2999999999999994;0.2201514630127782
Double-Q-Learning;ucb;D;0.3;0.6;0.15;cosine;noisy;70.66666666666667;2.0548046676563256;3.216666666666667;0.20072092289766139
Double-Q-Learning;ucb;D;0.3;0.6;0.15;euclidean;noisy;66.33333333333333;8.73053390247253;3.53;0.14165686240583855
Double-Q-Learning;ucb;E;0.3;0.6;0.15;cosine;noisy;72.66666666666667;2.8674417556808756;3.5666666666666664;0.1472714802291636
Double-Q-Learning;ucb;E;0.3;0.6;0.15;euclidean;noisy;76.66666666666667;2.494438257849294;3.3400000000000003;0.08831760866327845
Actor-Critic;epsilon_greedy;A;0.3;0.6;0.15;cosine;noisy;69.66666666666667;2.8674417556808756;3.1133333333333333;0.09463379711052258
Actor-Critic;epsilon_greedy;A;0.3;0.6;0.15;euclidean;noisy;72.33333333333333;3.681787005729087;3.0700000000000003;0.1283225103661344
Actor-Critic;epsilon_greedy;B;0.3;0.6;0.15;cosine;noisy;62.333333333333336;2.8674417556808756;3.41;0.10984838035522733
Actor-Critic;epsilon_greedy;B;0.3;0.6;0.15;euclidean;noisy;69.0;3.559026084010437;3.1666666666666665;0.19154343864744866
Actor-Critic;epsilon_greedy;C;0.3;0.6;0.15;cosine;noisy;77.0;2.160246899469287;3.3200000000000003;0.10708252269472666
Actor-Critic;epsilon_greedy;C;0.3;0.6;0.15;euclidean;noisy;82.0;2.449489742783178;2.9766666666666666;0.16679994670929066
Actor-Critic;epsilon_greedy;D;0.3;0.6;0.15;cosine;noisy;81.66666666666667;1.699673171197595;3.0666666666666664;0.15326085243430196
Actor-Critic;epsilon_greedy;D;0.3;0.6;0.15;euclidean;noisy;80.33333333333333;1.699673171197595;3.19;0.03559026084010444
Actor-Critic;epsilon_greedy;E;0.3;0.6;0.15;cosine;noisy;82.66666666666667;2.0548046676563256;3.063333333333333;0.2542090128658349
Actor-Critic;epsilon_greedy;E;0.3;0.6;0.15;euclidean;noisy;79.66666666666667;1.247219128924647;3.22;0.07257180352359077
Actor-Critic;decaying_epsilon;A;0.3;0.6;0.15;cosine;noisy;72.66666666666667;0.9428090415820634;2.813333333333333;0.08219218670625292
Actor-Critic;decaying_epsilon;A;0.3;0.6;0.15;euclidean;noisy;75.66666666666667;4.189935029992178;2.9133333333333327;0.21483844059096027
Actor-Critic;decaying_epsilon;B;0.3;0.6;0.15;cosine;noisy;63.0;4.546060565661954;3.3633333333333333;0.19014614262602209
Actor-Critic;decaying_epsilon;B;0.3;0.6;0.15;euclidean;noisy;65.66666666666667;4.189935029992178;3.3533333333333335;0.18517259216441523
Actor-Critic;decaying_epsilon;C;0.3;0.6;0.15;cosine;noisy;78.66666666666667;1.247219128924647;3.1099999999999994;0.21954498400100153
Actor-Critic;decaying_epsilon;C;0.3;0.6;0.15;euclidean;noisy;81.33333333333333;1.247219128924647;2.9333333333333336;0.17594190960528872
Actor-Critic;decaying_epsilon;D;0.3;0.6;0.15;cosine;noisy;74.0;7.118052168020874;3.346666666666667;0.2839405258539581
Actor-Critic;decaying_epsilon;D;0.3;0.6;0.15;euclidean;noisy;81.66666666666667;2.357022603955158;2.873333333333333;0.2217105219775452
Actor-Critic;decaying_epsilon;E;0.3;0.6;0.15;cosine;noisy;82.33333333333333;3.39934634239519;3.03;0.28647280266487185
Actor-Critic;decaying_epsilon;E;0.3;0.6;0.15;euclidean;noisy;85.33333333333333;2.8674417556808756;3.1;0.29676028485406647
Actor-Critic;ucb;A;0.3;0.6;0.15;cosine;noisy;75.66666666666667;3.39934634239519;2.893333333333333;0.040276819911982
Actor-Critic;ucb;A;0.3;0.6;0.15;euclidean;noisy;68.66666666666667;3.2998316455372216;3.1199999999999997;0.17454703282114717
Actor-Critic;ucb;B;0.3;0.6;0.15;cosine;noisy;64.0;0.0;3.34;0.03741657386773952
Actor-Critic;ucb;B;0.3;0.6;0.15;euclidean;noisy;69.0;2.449489742783178;3.236666666666667;0.17987650084309406
Actor-Critic;ucb;C;0.3;0.6;0.15;cosine;noisy;78.33333333333333;2.494438257849294;3.19;0.26191601707417583
Actor-Critic;ucb;C;0.3;0.6;0.15;euclidean;noisy;78.66666666666667;3.0912061651652345;3.3033333333333332;0.1621384867602041
Actor-Critic;ucb;D;0.3;0.6;0.15;cosine;noisy;78.33333333333333;3.2998316455372216;3.23;0.2592296279363143
Actor-Critic;ucb;D;0.3;0.6;0.15;euclidean;noisy;79.33333333333333;2.494438257849294;3.15;0.1630950643030009
Actor-Critic;ucb;E;0.3;0.6;0.15;cosine;noisy;77.0;1.632993161855452;3.4600000000000004;0.20116328359486157
Actor-Critic;ucb;E;0.3;0.6;0.15;euclidean;noisy;82.33333333333333;4.496912521077347;3.326666666666666;0.18116904322268254
