model;exploration;strategy;alpha;gamma;epsilon;similarity;child_profile;success_rate_mean;success_rate_std;avg_attempts_mean;avg_attempts_std
Q-Learning;ucb;A;0.3;0.6;0.15;cosine;consistent;80.66666666666667;2.0548046676563256;2.776666666666667;0.06548960901462822
Q-Learning;ucb;A;0.3;0.6;0.15;euclidean;consistent;78.66666666666667;3.2998316455372216;2.9466666666666668;0.020548046676563368
Q-Learning;ucb;B;0.3;0.6;0.15;cosine;consistent;70.0;2.449489742783178;3.2466666666666666;0.11085526098877262
Q-Learning;ucb;B;0.3;0.6;0.15;euclidean;consistent;65.66666666666667;1.247219128924647;3.4499999999999997;0.10614455552060448
Q-Learning;ucb;C;0.3;0.6;0.15;cosine;consistent;83.33333333333333;0.4714045207910317;3.16;0.10984838035522729
Q-Learning;ucb;C;0.3;0.6;0.15;euclidean;consistent;89.33333333333333;1.247219128924647;3.0566666666666666;0.05734883511361739
Q-Learning;ucb;D;0.3;0.6;0.15;cosine;consistent;79.0;1.632993161855452;3.24;0.1768238294649978
Q-Learning;ucb;D;0.3;0.6;0.15;euclidean;consistent;74.66666666666667;3.858612300930075;3.313333333333334;0.21296843793284373
Q-Learning;ucb;E;0.3;0.6;0.15;cosine;consistent;82.0;4.898979485566356;2.9766666666666666;0.11145502331533662
Q-Learning;ucb;E;0.3;0.6;0.15;euclidean;consistent;84.33333333333333;3.39934634239519;3.3266666666666667;0.15107025591499534
SARSA;epsilon_greedy;A;0.3;0.6;0.15;cosine;consistent;78.66666666666667;0.4714045207910317;2.716666666666667;0.1993879523831758
SARSA;epsilon_greedy;A;0.3;0.6;0.15;euclidean;consistent;79.66666666666667;1.699673171197595;2.733333333333333;0.08576453553512403
SARSA;epsilon_greedy;B;0.3;0.6;0.15;cosine;consistent;68.33333333333333;4.189935029992178;3.2866666666666666;0.20805982045769644
SARSA;epsilon_greedy;B;0.3;0.6;0.15;euclidean;consistent;68.33333333333333;1.247219128924647;3.1633333333333327;0.11671427600007725
SARSA;epsilon_greedy;C;0.3;0.6;0.15;cosine;consistent;85.0;1.632993161855452;2.9433333333333334;0.05312459150169738
SARSA;epsilon_greedy;C;0.3;0.6;0.15;euclidean;consistent;86.33333333333333;2.0548046676563256;3.1466666666666665;0.17326921891156044
SARSA;epsilon_greedy;D;0.3;0.6;0.15;cosine;consistent;88.0;2.8284271247461903;2.91;0.16391054470859004
SARSA;epsilon_greedy;D;0.3;0.6;0.15;euclidean;consistent;89.33333333333333;2.494438257849294;3.016666666666667;0.016996731711975993
SARSA;epsilon_greedy;E;0.3;0.6;0.15;cosine;consistent;83.0;0.816496580927726;2.89;0.10984838035522729
SARSA;epsilon_greedy;E;0.3;0.6;0.15;euclidean;consistent;86.0;2.160246899469287;2.99;0.08286535263104042
SARSA;decaying_epsilon;A;0.3;0.6;0.15;cosine;consistent;76.66666666666667;1.8856180831641267;2.8433333333333337;0.0805536398239639
SARSA;decaying_epsilon;A;0.3;0.6;0.15;euclidean;consistent;81.33333333333333;2.6246692913372702;2.8066666666666666;0.0418993502999218
SARSA;decaying_epsilon;B;0.3;0.6;0.15;cosine;consistent;76.0;2.449489742783178;2.973333333333334;0.03299831645537214
SARSA;decaying_epsilon;B;0.3;0.6;0.15;euclidean;consistent;73.33333333333333;4.496912521077347;3.2133333333333334;0.30214051182999097
SARSA;decaying_epsilon;C;0.3;0.6;0.15;cosine;consistent;87.0;3.7416573867739413;3.07;0.2222611077089287
